crop_category,crop,soil_type,N_level,P_level,K_level,temperature,humidity,ph,rainfall,fertilizer
cereals,,unknown,medium,low,high,29,85,7.5,194,Urea
cereals,,unknown,medium,medium,low,35,72,6.4,177,NPK
cereals,,unknown,low,low,high,22,88,6.3,85,Urea
cereals,,unknown,medium,medium,low,32,72,6.0,179,MOP
cereals,,unknown,low,low,medium,27,79,6.1,194,NPK
cereals,,unknown,high,low,high,26,79,6.2,178,NPK
cereals,,unknown,high,high,medium,31,82,6.1,206,DAP
cereals,,unknown,high,medium,high,24,80,7.1,149,NPK
cereals,rice,clay loam,low,medium,high,24,68,6.7,189,Compost
cereals,rice,clay loam,low,medium,low,25,73,6.6,145,MOP
cereals,rice,clay loam,medium,medium,high,29,87,6.0,167,NPK
cereals,rice,clay loam,high,medium,medium,26,87,5.7,143,Compost
cereals,rice,clay loam,high,low,low,23,68,7.0,192,NPK
cereals,rice,clay loam,high,high,low,25,64,7.0,246,Urea
cereals,rice,clay loam,high,low,medium,21,89,6.9,213,Ammonium Sulfate
cereals,rice,clay loam,high,high,low,34,54,7.5,139,Urea
cereals,wheat,loamy soil,medium,low,high,25,89,6.4,169,NPK
cereals,wheat,loamy soil,low,low,high,24,75,7.0,98,Compost
cereals,wheat,loamy soil,high,high,medium,31,67,6.1,244,NPK
cereals,wheat,loamy soil,medium,medium,low,29,62,5.7,184,MOP
cereals,wheat,loamy soil,low,low,medium,30,77,7.2,156,NPK
cereals,wheat,loamy soil,medium,low,medium,28,69,7.1,109,Ammonium Sulfate
cereals,wheat,loamy soil,high,high,high,34,60,6.9,202,Compost
cereals,wheat,loamy soil,medium,high,high,32,64,6.2,175,MOP
cereals,maize,sandy loam,medium,low,low,31,77,5.9,87,DAP
cereals,maize,sandy loam,medium,medium,medium,26,81,7.0,96,Compost
cereals,maize,sandy loam,medium,high,medium,27,77,7.0,162,DAP
cereals,maize,sandy loam,medium,high,high,33,90,7.2,248,Urea
cereals,maize,sandy loam,medium,low,medium,28,70,5.5,209,DAP
cereals,maize,sandy loam,high,medium,low,20,89,5.9,125,MOP
cereals,maize,sandy loam,high,low,medium,29,70,5.5,132,MOP
cereals,maize,sandy loam,low,low,low,21,74,6.7,249,Compost
cereals,barley,loamy soil,medium,medium,low,26,84,6.9,198,MOP
cereals,barley,loamy soil,medium,low,low,22,53,7.2,198,Compost
cereals,barley,loamy soil,high,high,high,34,56,7.2,228,Ammonium Sulfate
cereals,barley,loamy soil,low,medium,high,32,78,7.2,200,NPK
cereals,barley,loamy soil,high,medium,high,20,67,7.5,159,Ammonium Sulfate
cereals,barley,loamy soil,low,medium,medium,21,77,7.4,185,Urea
cereals,barley,loamy soil,medium,medium,medium,23,57,5.5,107,Urea
cereals,barley,loamy soil,high,low,high,31,52,7.0,132,NPK
cereals,sorghum,black soil,high,high,low,34,58,6.2,133,Urea
cereals,sorghum,black soil,low,low,medium,23,53,7.2,236,DAP
cereals,sorghum,black soil,high,low,high,30,80,6.3,139,Ammonium Sulfate
cereals,sorghum,black soil,low,high,low,33,85,6.6,240,Compost
cereals,sorghum,black soil,low,high,medium,30,82,6.7,89,Urea
cereals,sorghum,black soil,high,medium,medium,20,59,5.7,214,Urea
cereals,sorghum,black soil,low,high,medium,26,77,6.1,191,NPK
cereals,sorghum,black soil,high,medium,medium,25,89,5.7,215,Urea
cereals,fingermillet,sandy loam,high,medium,high,34,76,5.9,235,MOP
cereals,fingermillet,sandy loam,high,high,high,24,81,6.1,249,MOP
cereals,fingermillet,sandy loam,low,low,medium,23,51,5.8,243,Compost
cereals,fingermillet,sandy loam,medium,high,high,29,71,5.7,212,DAP
cereals,fingermillet,sandy loam,low,medium,high,25,68,7.1,139,Ammonium Sulfate
cereals,fingermillet,sandy loam,low,medium,high,24,86,6.7,102,Compost
cereals,fingermillet,sandy loam,high,high,medium,30,67,7.5,205,Compost
cereals,fingermillet,sandy loam,high,low,high,33,51,6.7,235,Compost
